city_clean,country_norm,region_nuts,Access to large green spaces_rescaled,Surrounding greenness_rescaled,Universal access to green spaces_rescaled,Opportunity to walk_rescaled,Opportunity to cycle_rescaled,Air quality (NO2)_rescaled,Air quality (PM2.5)_rescaled,Lower urban heat islands_rescaled,Public transport stops_rescaled,Permeability_rescaled
Torun,PL,PL613,5.06,4.41,3.82,7.98,4.49,5.94,4.57,5.74,3.78,2.43
Tours,FR,FRB02,6.15,3.4,5.14,5.82,2.94,6.17,6.25,4.12,2.92,2.52
Tilburg,NL,NL412,5.36,3.69,4.82,6.0,5.79,3.47,5.97,4.91,2.37,2.81
Craiova,RO,RO411,6.91,2.4,3.41,5.05,0.04,6.81,4.04,6.36,2.3,1.93
Krefeld,DE,DEA15,5.2,3.89,4.62,6.74,2.7,3.36,5.8,5.36,3.04,2.63
Tampere,FI,FI197,3.66,3.34,3.46,6.77,8.93,8.65,9.42,5.91,4.49,1.9
Timisoara,RO,RO124,5.03,2.16,3.31,5.49,2.03,6.55,4.5,6.67,3.34,1.89
Angers,FR,FRG04,6.09,3.5,4.71,7.07,3.28,6.36,6.44,4.31,2.47,2.89
Strasbourg,FR,FRF11,5.17,3.59,3.72,5.79,5.28,4.77,5.7,3.67,3.3,2.5
Sosnowiec,PL,PL22A,5.54,6.15,4.3,8.41,1.31,4.78,1.5,5.79,2.71,4.25
Magdeburg,DE,DEE03,3.79,4.83,3.69,7.98,2.44,6.14,6.06,5.71,2.8,1.73
Caen,FR,FRD11,5.55,3.58,3.95,6.25,3.47,5.65,6.55,4.33,3.96,2.57
Rennes,FR,FRH01,5.4,4.16,4.71,7.22,3.42,6.69,6.6,4.53,2.24,3.12
Doncaster,UK,UKE31,6.0,4.8,4.84,4.17,1.98,6.28,7.93,6.36,4.43,3.43
Limoges,FR,FRI23,6.76,3.92,5.09,5.03,1.64,6.98,6.74,3.61,2.18,4.62
Duisburg,DE,DEA12,5.22,4.79,4.0,7.11,1.74,2.58,5.64,5.89,3.03,2.76
Wiesbaden,DE,DE714,5.27,4.0,4.07,6.98,0.86,3.92,6.29,5.11,3.86,3.21
Mannheim,DE,DE126,4.91,3.35,3.77,7.84,2.26,4.03,6.1,4.95,3.49,2.18
Verona,IT,ITH31,6.15,4.63,5.6,5.95,3.36,2.5,0.0,6.46,3.58,3.11
Perpignan,FR,FRJ13,5.02,5.11,2.85,4.4,2.94,8.21,7.03,7.25,2.22,3.35
Ostrava,CZ,CZ080,5.06,5.48,4.65,6.81,3.39,5.72,1.35,5.38,2.18,4.47
Czestochowa,PL,PL224,4.91,4.89,3.01,6.46,1.97,6.3,3.59,5.77,1.47,4.23
Aalborg,DK,DK050,4.52,4.39,3.77,5.43,4.79,7.85,7.21,6.55,1.46,4.4
Rouen,FR,FRD22,6.0,3.87,3.81,5.11,2.85,4.49,6.32,2.74,2.34,3.6
Catania,IT,ITG17,2.44,2.88,1.75,4.32,1.06,5.17,4.53,8.23,6.17,2.25
Murcia,ES,ES620,1.95,6.06,2.65,3.36,2.58,6.89,5.23,7.65,1.2,7.07
Messina,IT,ITG13,4.23,4.09,1.73,2.73,1.02,5.63,5.61,2.89,4.6,4.06
Cartagena,ES,ES620,2.2,4.71,2.49,5.63,2.56,7.15,5.64,8.93,1.48,5.19
Galati,RO,RO224,2.04,2.09,1.24,5.74,1.88,7.26,4.37,6.52,3.0,1.31
Debrecen,HU,HU321,2.91,3.28,2.22,4.06,3.82,7.97,4.49,4.95,2.6,2.63
Elche,ES,ES521,2.91,7.98,2.13,3.78,3.31,7.21,6.37,6.49,0.77,8.31
Harlow,UK,UKH33,7.1,6.51,7.01,7.99,4.5,5.51,8.01,7.39,4.17,5.09
Stevenage,UK,UKH24,7.23,4.41,6.58,7.22,4.83,5.68,8.37,7.49,4.49,3.54
Crawley,UK,UKJ23,7.52,4.46,6.57,6.65,3.56,5.79,8.18,7.45,4.41,3.0
Ioannina,EL,EL211,8.77,2.98,7.29,3.7,1.32,7.55,5.33,7.82,2.26,3.19
Exeter,UK,UKK42,7.11,4.14,6.1,6.21,4.43,7.72,8.08,7.33,5.39,2.35
Luxembourg,LU,LU000,7.17,4.48,6.53,7.51,2.27,5.31,7.04,7.01,6.11,3.27
Girona,ES,ES512,7.41,4.12,6.48,7.47,3.96,5.8,5.77,6.84,3.78,3.35
Cambridge,UK,UKH11,7.11,3.19,4.66,6.97,5.24,7.07,8.21,7.39,4.6,3.49
Oxford,UK,UKJ14,6.63,4.03,6.01,6.72,4.41,6.74,7.91,7.43,4.8,3.49
Rijeka,HR,HR031,7.8,4.77,5.5,7.01,0.0,7.44,6.92,7.04,4.52,3.07
Salamanca,ES,ES416,4.87,3.29,6.21,9.74,3.55,6.11,7.46,8.38,5.59,2.03
Cheltenham,UK,UKK13,7.2,2.57,6.09,5.85,3.04,6.37,7.86,7.33,5.59,2.25
Worcester,UK,UKG12,7.15,3.6,5.29,5.33,3.78,6.82,8.04,7.49,4.91,2.64
Tamworth,UK,UKG11,6.78,4.54,5.46,5.37,4.94,5.63,7.8,7.39,5.18,2.31
Ipswich,UK,UKH34,7.19,2.78,5.3,4.6,3.15,6.9,7.72,7.32,6.21,2.71
Bolzano,IT,ITH10,7.67,4.12,4.75,6.69,6.62,5.27,5.05,6.36,5.13,4.27
Salzburg,AT,AT32,7.46,4.1,6.45,6.97,3.34,5.5,6.58,7.02,3.69,3.73
Hastings,UK,UKJ21,7.07,3.67,5.67,6.16,1.62,6.86,7.64,7.18,2.85,4.29
Norwich,UK,UKH14,6.07,2.59,5.26,7.24,2.56,7.05,8.12,7.44,5.33,3.01
Cork,IE,IE025,7.08,3.24,5.04,5.04,2.26,8.69,9.04,7.47,3.96,2.24
Torremolinos,ES,ES617,8.09,2.58,5.1,5.06,2.29,5.9,6.37,8.38,3.08,2.68
Redditch,UK,UKG12,6.84,4.48,6.26,6.8,1.68,6.22,8.1,7.55,4.9,4.45
Purmerend,NL,NL326,6.56,2.56,6.12,6.21,6.9,3.9,6.67,7.08,3.69,3.36
Cannes,FR,FRL03,7.92,3.98,4.06,4.37,2.51,6.3,6.4,7.85,4.38,4.32
Landshut,DE,DE221,6.99,4.53,5.52,5.57,5.28,6.44,6.67,6.84,4.0,4.46
Cagliari,IT,ITG25,8.72,2.11,5.25,4.83,3.29,5.95,6.57,7.24,3.82,1.63
Watford,UK,UKH23,7.4,3.76,5.12,4.69,3.19,4.44,7.83,7.22,4.91,2.89
Irun,ES,ES212,7.36,3.6,6.26,6.3,4.01,5.78,6.24,5.83,3.12,2.31
Ragusa,IT,ITG16,8.05,5.15,6.24,4.31,0.5,7.79,6.21,8.64,0.56,3.55
Lincoln,UK,UKF30,6.51,4.33,4.34,5.47,4.35,6.96,7.95,7.46,5.7,3.24
Gloucester,UK,UKK13,6.24,3.92,5.79,5.61,4.14,6.56,7.82,7.31,4.84,2.07
Lund,SE,SE224,5.15,5.22,5.02,8.18,5.49,7.79,8.31,6.99,2.44,6.84
Hoorn,NL,NL327,6.2,3.69,5.6,7.58,5.84,4.93,6.91,7.33,2.88,2.4
Huelva,ES,ES612,4.14,4.49,3.78,9.14,2.05,6.18,6.66,7.92,4.11,2.39
Slough,UK,UKJ12,7.17,3.16,5.29,4.7,3.56,5.43,8.02,7.29,3.95,1.8
Winterthur,CH,CH011,6.94,5.14,5.1,9.2,2.45,5.62,6.29,6.84,3.4,2.97
Trieste,IT,ITH44,7.58,2.61,7.04,7.79,2.22,4.58,3.63,6.04,6.14,2.18
Woking,UK,UKJ25,7.24,3.48,5.7,7.07,2.96,6.15,8.07,7.33,3.0,4.11
Burgos,ES,ES415,4.61,5.22,3.87,9.65,3.36,6.58,7.75,7.35,5.38,3.27
Newport,UK,UKL23,6.83,4.49,5.56,5.78,3.51,6.18,7.87,7.19,3.52,3.6
